,model,rank,lambda,alpha,R-Precision,NDCG
0,ALS,50,1,0.0,0.0784313725490196,0.18406527219524782
1,ALS,50,1,0.01,0.0784313725490196,0.18406527219524782
2,ALS,50,1,0.1,0.0784313725490196,0.1833856029444347
3,ALS,50,1,1.0,0.0784313725490196,0.18086562786299518
4,ALS,50,1,10.0,0.06862745098039216,0.14923981504137254
5,ALS,50,1,100.0,0.0392156862745098,0.08497307222781181
6,ALS,50,10,0.0,0.0784313725490196,0.18614966365950952
7,ALS,50,10,0.01,0.0784313725490196,0.1854699944086964
8,ALS,50,10,0.1,0.0784313725490196,0.1849066120284246
9,ALS,50,10,1.0,0.0784313725490196,0.18086562786299518
10,ALS,50,10,10.0,0.06862745098039216,0.1457334098866878
11,ALS,50,10,100.0,0.0392156862745098,0.08487586537481696
12,ALS,50,100,0.0,0.049019607843137254,0.1280172871077091
13,ALS,50,100,0.01,0.049019607843137254,0.1280172871077091
14,ALS,50,100,0.1,0.049019607843137254,0.13128139516933054
15,ALS,50,100,1.0,0.08823529411764706,0.2003237209239619
16,ALS,50,100,10.0,0.0784313725490196,0.17217675485559733
17,ALS,50,100,100.0,0.058823529411764705,0.11474498898771154
18,ALS,100,1,0.0,0.06862745098039216,0.16136401250576124
19,ALS,100,1,0.01,0.06862745098039216,0.16136401250576124
20,ALS,100,1,0.1,0.06862745098039216,0.1626070641368462
21,ALS,100,1,1.0,0.08823529411764706,0.19365590434710056
22,ALS,100,1,10.0,0.058823529411764705,0.11726496406915111
23,ALS,100,1,100.0,0.0196078431372549,0.03513221797630739
24,ALS,100,10,0.0,0.0784313725490196,0.17553806977021363
25,ALS,100,10,0.01,0.0784313725490196,0.17621773902102675
26,ALS,100,10,0.1,0.0784313725490196,0.17621773902102675
27,ALS,100,10,1.0,0.0784313725490196,0.18004522946292
28,ALS,100,10,10.0,0.06862745098039216,0.12653451093379528
29,ALS,100,10,100.0,0.0392156862745098,0.06752131667064155
30,ALS,100,100,0.0,0.049019607843137254,0.1280172871077091
31,ALS,100,100,0.01,0.049019607843137254,0.1280172871077091
32,ALS,100,100,0.1,0.058823529411764705,0.14964152683928078
33,ALS,100,100,1.0,0.08823529411764706,0.2003237209239619
34,ALS,100,100,10.0,0.0784313725490196,0.16394845131656957
35,ALS,100,100,100.0,0.058823529411764705,0.10531602741822248
36,ALS,200,1,0.0,0.06862745098039216,0.16785656826916256
37,ALS,200,1,0.01,0.06862745098039216,0.16785656826916256
38,ALS,200,1,0.1,0.0784313725490196,0.1779608379986583
39,ALS,200,1,1.0,0.058823529411764705,0.14158848411371305
40,ALS,200,1,10.0,0.049019607843137254,0.08305035134591375
41,ALS,200,1,100.0,0.029411764705882353,0.05448874309347286
42,ALS,200,10,0.0,0.0784313725490196,0.18406527219524782
43,ALS,200,10,0.01,0.0784313725490196,0.18406527219524782
44,ALS,200,10,0.1,0.0784313725490196,0.1846286545755197
45,ALS,200,10,1.0,0.06862745098039216,0.16793462222962774
46,ALS,200,10,10.0,0.049019607843137254,0.09247931291540282
47,ALS,200,10,100.0,0.029411764705882353,0.07871101186694932
48,ALS,200,100,0.0,0.049019607843137254,0.1280172871077091
49,ALS,200,100,0.01,0.049019607843137254,0.1280172871077091
50,ALS,200,100,0.1,0.058823529411764705,0.15155988663037243
51,ALS,200,100,1.0,0.08823529411764706,0.19908066929287696
52,ALS,200,100,10.0,0.08823529411764706,0.1668491967628158
53,ALS,200,100,100.0,0.058823529411764705,0.12471078544546399
54,ALS,400,1,0.0,0.029411764705882353,0.0602562458942387
55,ALS,400,1,0.01,0.029411764705882353,0.0602562458942387
56,ALS,400,1,0.1,0.029411764705882353,0.0602562458942387
57,ALS,400,1,1.0,0.0392156862745098,0.07702833220059584
58,ALS,400,1,10.0,0.0196078431372549,0.04382109098370524
59,ALS,400,1,100.0,0.029411764705882353,0.06065359660134051
60,ALS,400,10,0.0,0.049019607843137254,0.09414541223946114
61,ALS,400,10,0.01,0.049019607843137254,0.09414541223946114
62,ALS,400,10,0.1,0.0392156862745098,0.0805347373552806
63,ALS,400,10,1.0,0.058823529411764705,0.10531602741822248
64,ALS,400,10,10.0,0.0392156862745098,0.070785424732263
65,ALS,400,10,100.0,0.0392156862745098,0.09624638404601797
66,ALS,400,100,0.0,0.049019607843137254,0.13196106442014363
67,ALS,400,100,0.01,0.049019607843137254,0.1334040195436683
68,ALS,400,100,0.1,0.06862745098039216,0.16378678073420594
69,ALS,400,100,1.0,0.08823529411764706,0.19908066929287696
70,ALS,400,100,10.0,0.0784313725490196,0.15115413041437353
71,ALS,400,100,100.0,0.06862745098039216,0.13838479536336976
